Symbol,Name
DEXUSEU,U.S. / Euro Foreign Exchange Rate
CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
INDPRO,Industrial Production Index
DGS10,10-Year Treasury Constant Maturity Rate
UNRATE,Civilian Unemployment Rate
PAYEMS,All Employees: Total Nonfarm Payrolls
IC4WSA,4-Week Moving Average of Initial Claims
DJIA,Dow Jones Industrial Average
T10Y3M,10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity
DCOILBRENTEU,Crude Oil Prices: Brent - Europe; $ per Barrel
DCOILWTICO,Crude Oil Prices: West Texas Intermediate (WTI)
IPG211111CN,Industrial Production: Mining: Crude oil
USALFTOTMDSMEI,Civilian Labor Force: All Persons in the United States
DFF,Effective Federal Funds Rate
